Handle,Post,Date
@monymbugua,kenyapowercare account number said would resolve matter days ago dont electricity area since sunday transformer needs fixed officers told ppl unless bribed wont fix,24-Apr
@KangFurnitures,kenyapowercare kindly assist transformer caught fire burnt post paid meter team came said cant deal meter smart meterarea budalangi njiru along kangundo road,24-Apr
@monymbugua,issue yet resolved today guys meant come fix transformer officers said unless bribed wont fix allowing corruption go open,24-Apr
@WangetheP,kenyapowercare transformer blew yesterday night account number kindly assist,24-Apr
@Abuyasoxx,kenyapowercare kenyapower kindly help us transformer imeharibika days utawala shooters kobe apartments,24-Apr
@CynthiaMatere,kenyapowercare maporomoko served lines muranga side transformer affected pour last night,24-Apr
@samutula,kenyapowercare youre transformer fire njiru area,24-Apr
@nyamu_mark,kenyapowercare kenyapower theres live wire thats fallen ground place called transformer way riabai along main road thats disaster waiting see location,24-Apr
@MbuguaKenmbugua,kenyapowercare transformer almost falling mwiki junction catholic road mwiki njiru road near export lounge,24-Apr
@Tonykitoh,power mihango along kigwathi rd last hrs due faulty transformer kindly assist acc,24-Apr
@Rensonotieno,transformer fallen close oloosirkon primary school,24-Apr
@Amulanda12,kenyapowercare hi transformer shirakalu village n kakamegashibuli mumias road blew one week ago cases reported response received,23-Apr
@kewango,minutes ago transformer fallen road tuala rongai danger needing emergency live wires water road,23-Apr
@DsnyX,kenyapowercare ref ksouth stage lost power loud noise heard may transformer please check assist,23-Apr
@TKaburu,kenyapowercare transformer blown last hrs ref,23-Apr
@Jullo_lio,nd night power kasarani hunters transformer failure,23-Apr
@benjol_254,guys came took transformer siamungu busia county almost months nothing whats progress,23-Apr
@ProTech_Kenya,kenyapowercare expect transformer issue roysambu primary area fixed,23-Apr
@NyawiraM_,kenyapowercare kindly fix transformer fell due heavy rains baricho kirinyaga countysome us working home regiontoday third day without lights alarming since one come sitekindly pay us visit,23-Apr
@HenryBonyo,hi kenyapowercare team theres transformer pole leaning dangerously kogweno primary school east karachuonyo please send team area floods could dangerous,23-Apr
@KijanaFantastic,posted last week didnt respond village githima kajiado west transformer stolen two months black kindly fix,23-Apr
