Handle,Post,Date
@NjorogeMwalimu,kenyapowercare hrs highlited sparking transformer action team nothing youre leaving us mercies maker still pending simple fix,5-Aug-22
@NjorogeMwalimu,kenyapowercare weve dark since last night till coz transformer sparks coming whole hrs later help come,4-Aug-22
@jennagottfans_,transformer ia fire want account number joke,4-Aug-22
@arnokirk,kenyapowercare transformer throwing flames next ack church kasarani mugumoini,4-Aug-22
@Nyaksal07,kenyapowercare transformer next ack churchopposite clay city police post kasaranisunton mugumo area burning call lines busy kindly address,4-Aug-22
@Kypler3,transformer fire,4-Aug-22
@SuperbJux,power umoja past four days faulty transformer meter,4-Aug-22
@EdwardsJosiah1,kenyapowercare happening cant stable supply electricity transformer weve using transmitting one phase two phases seized functioning long time ago remaining one overloaded hence cannot hold load,4-Aug-22
@NjorogeMwalimu,kenyapowercare transformer number g sparking hv fuselinks threatening damage,4-Aug-22
@detecti85011573,affecting whole area using transformer please assist great mess since last week friday humble request,4-Aug-22
@philip_muroki,kenyapowercare every night drizzling experiencing power block market affects us seriously kindly check thamare transformer,3-Aug-22
@Jaynegits101,kenyapowercare resolve power outrage ruiru ndururumo areano lights since pmand transformer needs checked cant use electric appliances pm pm,3-Aug-22
@amoskioko,kenyapowercare frequent power outages line many households served one transformer meter number,3-Aug-22
@Davidavy86,kenyapowercare came like times different kplc members staff saw confirmed nearest transformer kilometre away next please weather schools closedref,3-Aug-22
@kisha_jared,kenyapowercare accident nocked electric poll transformer hunging emergency kindly check moi avenue mombasa,3-Aug-22
@TechMogulAfrica,kenyapowercare lights witeithie komo muhaka become common occurence due transformer overload mtr,3-Aug-22
@FRANCIS04882194,thanks update sigona ward kwamindo shopping centre kikuyu shortage power since dont transformer fourth month asking kindly considered disappointed,3-Aug-22
@Tsar_Joe,kenyapowercare kenyapower gross incompetence hurting businesses komarock fix damn transformer stop giving us lame promises kot cofek cofekafrica,3-Aug-22
@AugustineMatat2,nunguni near st lucia girls kauti also facing challenge transformer since july blackout,3-Aug-22
@OmariSoul,kenyapowercare kenyapower fredmatiangi worldvision nyangeti primary school secondary black almost year since area transformer failed step ever taken handled,2-Aug-22
@KelvinK06117249,kenyapowercare current situation uthiru gechagi transformer leakingsome sections lights might danger,2-Aug-22
@shemeji49816645,kenyapowercare transformer kirongo homabay county aint working since friday action taken,2-Aug-22
@shemeji49816645,kenyapowercare cant respond kenyans issues cant help kenya please check transformer issue homabay rangwe subcounty next kirongo school dont lights,2-Aug-22
@kamaukings,kenyapowercare hi experiencing powerblackout uthiru gichagi area believe transformer failure coz power went last night loud bang please addressed power restored acc kenyadecides,2-Aug-22
@paulo_Hinga,kenyapowercare need serious revamping transformer serves many keeps failing last five days experienced many blackouts including yesterday till meter kplc,2-Aug-22
@PrinceSimar,kenyapowercare lazima kasarani stima ipotee days every one week got seriousalafu mseme ni babadogo transformer imeharibikawhe sark fot hours,2-Aug-22
@YvonneK61064749,kenyapowercare hope sending team kahawa wendani today since wenesday electricity houses others like mine power drops every day pm due transformer overload kindly send team soon possible come resolve issue thanks,2-Aug-22
@Victordatum,kenyapowercare kindly organize replace vandulizsed transformer kisii estate thika,2-Aug-22
@GathuaNjerie,transformer blew electricity still back account,2-Aug-22
@wa_agothi,kenyapowercare reference progress power outages inconvinient problem transformer got hit lorry please send team fix,2-Aug-22
@ZeyMshanga,resolve issue transformers residential another commercial many businesses opened muthiga transformer overloaded us living area ones suffering dont power daily basis,2-Aug-22
@MaguaNdungi,kenyapowercare morning transformers exploded near uthiru gechagi chiefs camp whole area black since sunday need check httpasapmy account,2-Aug-22
@Jeff_Knickx,hello one transformers exploded apa uthiru gechagi apa kwa chief might hazardthe whole area lightsyou need come check asap,1-Aug-22
@VincentAwange,need lasting solution transformers,1-Aug-22
@Cortini,ensure remind ruai emergency team fixed immediately plus check illegal connections close transformer uncommon acc,1-Aug-22
@VincentAwange,kenyapowercare lucky summer estate againtransformer next mwalimu plaza blown please give us lasting solution,1-Aug-22
@mcgalashan,kenyapowercare kenyapower wadau ruiru karia specific dark days transformer iliblow action taken changamkeni bana vitu zinaharibika bana,1-Aug-22
@Cortini,kenyapowercare last time took days fix exactly problem transformer video conferences evening whats wrong area kindly remind ruai crew get fix account,1-Aug-22
@nascovasizo,affecting several areas served transformer blew,1-Aug-22
@Rube_Mfalme,people line connections power line several houses one transformer,1-Aug-22
@Njuguna_Mose,hello entire area people using one transformers faulty friday,1-Aug-22
@kisiifinest15,whats important nyankongo primary area electricity still nowits yesterday may complications transformer solved,1-Aug-22
@juleschege18,uhuru kismenti area dnt electricity since yesterday transformer keeps overloaded repair week blows reported one even shows yet fast disconnect us need monopoly ended mtr number,31-Jul-22
@zambego,fixing wire take hr kplc fix long take work transformer yesterday hr technicians morning nothing hrs ago nothing done send workers repair,31-Jul-22
@Riq_Wam,breakdown main power line hours ago day faulty transformer day thatit scheduled maintenance day technical faulty caused todays blackoutalsowhat cause blackout tomorrow,30-Jul-22
@khacheso,kenyapowercare team check transformer explosion around consolata school njathaini road electricity,30-Jul-22
@Lkabole2,ur transformer meters next hse punishment overcharged really mr geoffrey w mulii ceo please look case sick hav lost much income,30-Jul-22
@real_wycky,kenyapowercare kuna power shortage pipeline transformer ziko na sparks kindly respond,29-Jul-22
@k_ngaira,kenyapowercare hi team possible go check transformer near heavenly homes ololua cable cut please restore power thank,29-Jul-22
@amKiDo254,told supposed pay transformer provided electricity bill amounted million ksh supposed produce amount surely kenyapowercare,29-Jul-22
@amKiDo254,kenyapowercare told pay transformer responsibility,29-Jul-22
@wa_agothi,kenyapowercare coming fix transformer issue kinoo cannot power cuts every mins bana location chiefs road near kinoo primary,29-Jul-22
@OumahGeorge,kenyapowercare morning transformer maasai lodge road bursted whole area darkness,29-Jul-22
@g16174472,took transformers kariba estate,28-Jul-22
@sylviakwamboka_,one come fix transformer caused problem,28-Jul-22
@MthNorah,power restored sometime day thank seem problem minutes evening please add another transformer area,28-Jul-22
@Festus_Pyoko,start taking working transformer miyuke primary school mbakalo ward tongaren constituency bungoma county also ensure community around school transformer connected power tired still staying darkness,28-Jul-22
@ndi_chu_michael,thank response shorter better case new transformer old repaired one highly appreciated otherwise might face issue ill give feedback three days change,28-Jul-22
@Kish37752041,transformer line juja oreon place keeps bursting lines go offcan something done already came yesterday repair happened today pm,28-Jul-22
@estherkariuki3,pls transformer plucked yesterday midnight link road thika landless kindly assist,28-Jul-22
@PolycapManingi,dont account since installation done naomba tu mtusaidie tupate transformerin migori ngege area,28-Jul-22
@JohnIru50667612,thika landless power vandalized transformer,28-Jul-22
@Akitekti,okay lines different transformer power,28-Jul-22
@PolycapManingi,good morning kindly help us get transformer near kadika migori county kilometres kenya power yet weve power since brought planet earth,28-Jul-22
@MwangiJnrDave,kenyapowercare kenyapower experiencing power fluctuations high voltage since pm transformer sparking street lights blinking appliances get damaged cant get lasting solution surely,27-Jul-22
@Elikingmfalme,kenya power agent took transformer thursday havent communicated,27-Jul-22
@OmindeHarrison,kenyapowercare weve without power last nightsall customers get supply esumba dispensary transformer kindly take action,27-Jul-22
@CynthiaMatere,naona kama tutachomewa nyumba na hizi stima meter box come n go noise excess si mzime kabisa kama transformer cant carry load worried may face calamities,27-Jul-22
@fathili504,years kenyapowercare kenyapower replace faulty transformer anyway thanks,27-Jul-22
@PWanabule,transformer kituni market near kituni high school webuye west bungoma countyhas bee missing one phase last one week well great full problem could sorted soonest,27-Jul-22
@befreewithtruth,kenyapowercare unscheduled power blackout transformer blast,27-Jul-22
@bee_leelly,power outage account number transformer issues entering th day,26-Jul-22
@Kareez254,kenyapowercare power outage affecting prepaid account seems transformer failure affecting area,26-Jul-22
@NdwigaNyagaJ,hatuna stima tangu jana kathima coffee factory transformer gichanine kangeta igembe central near guardian hospital reported severally action maua team,26-Jul-22
@ruannalice1,kenyapowercare black transformer fire kasarani complaint number kindly help,26-Jul-22
@ruannalice1,black transformer fire complaint number please help,26-Jul-22
@Rose45272001,kenyapowercare power blackout caused faulty transformer assistance greatly appreciated location kangundo rd kipawa area opposite oryx petrol station nyota,26-Jul-22
@LinahOkwaba,kenyapowercare power last months place siaya asembo kalandinour transformer removed taken somewhere else,26-Jul-22
@jemtai_shirley,lights kahawa wendani olive shade apartment part building transformer needs made hitted vehiclekindly make effort restore lights urgentlyits almost hrs since lights cut short,26-Jul-22
@jemtai_shirley,lights kahawa wendani olive shade apartment part building transformer needs made hit vehiclekindly make effort restore lights urgentlyits almost hrs since lights cut shorturgently amend issue,26-Jul-22
@Chombah_MJ,kenyapowercare power went ruaka lane environs minutes ago noise transformer please look issue,26-Jul-22
@LucyDavyd,would kindly take case seriously sharing transformer three factories twenty apartment ten homes every week always power outage since transformer overworked,26-Jul-22
@Truthtalker254,kenyapowercare transformer blown thindigua next morning star apartments kindly send team account,26-Jul-22
@Akitekti,kenyapowercare power outage mtr last hrs power adjacent transformerline power throughout frustrating darkness line neighbors different line power,25-Jul-22
@AnkoliDan,kenyapowercare cc vikwatani kajiweni area junda ward mombasa power since yesterday whats please deal ac kenyapower transformer location,25-Jul-22
@susan_kabui,kenyapowercare power eastleigh sec since thursday st july took transformer yet return kindly fix asap please kenyapower,25-Jul-22
@oliviadan14,omega area problem ages everyday new flats coming tiny transformer served people back forced support hundreds household sort issue ones ama mkujie transformer yenu,25-Jul-22
@Exblooms1,kenyapowercare kenyapower anticorruption ntvkenya citizentvkenya meantime site upcoming estate former kenchic farm athi river poles cables transformer installed days person works magic go see himher price,25-Jul-22
@JaneKiptoo3,lost power thursday last week annexe eldoret transformer issues due lightning days expect power back,25-Jul-22
@KemboiSuter,darkness two months consecutively area kose villagechemweno chebor primary school transformer dead anyone help please,24-Jul-22
@mKENYANA,kenyapowercare lightsafter sound nearby transformer actually blowing sound guess nini knowmy opinion face interface ish ish areacode marish maringo area opp rabai road hapo tutachmamaan come thru,24-Jul-22
@MykeyMyk_,hi kenyapowercare wanyee road transformer fire wanyee road mutindwa dagoretti south area,24-Jul-22
@dekombe,behind sfs primary along hekima drive served transformer amboseli drive katani one line account number kenyapowercare markjarusinga,23-Jul-22
@omywario,kenyapowercare seeking headquarters intervention hola office use much transformer kplc cant afford one three years complaining without one act tunataka stima,23-Jul-22
@PETERLA78337828,transformer chemogoi primary school sach angwan centre kapkures,23-Jul-22
@KennedyNanga3,hello problem still persist folty transformer blackout,23-Jul-22
@Mytethia,power blackout forced fallen wire short circuiting lines transformer wire may even cause accident kids around today,23-Jul-22
@iThaiiru,kenyapowercare hello kplc suspect officers scamming taking money kenyans claiming compensation using land set transformers,22-Jul-22
@TimothyRotich2,kenyapowercare slow solving power problem take week replace faulty transformer monopoly made lazy need competition babuowino gachagua laywer kimani,22-Jul-22
@Sandylexy,kenyapowercare hi weve power outages better part month wangige muthumu area nothing done even numerous calls offices told transformer needs replaced done kindly mess,22-Jul-22
@davidyego_k,kenyapowercare theres exploded transformer annex eldoret something,22-Jul-22
@NgumiThomas,gl machine keep promisethe nearby transformer lying one sidedont wait fall blow act,21-Jul-22
@miss_kemo,done whole day yesterday kplc technicians whole day fixing transformer hours later power gone expect us pay cant work williamsruto railaodinga,21-Jul-22
@miss_kemo,kenyapowercare fed come fix transformer regen whole day less hours power gone dont want reference numbers want permanent solution,20-Jul-22
@Ellcrazy,kenyapowercare blackout every pm area tell technicians ngong find lasting solution us transformer faulty get us another one like accnt olosurutia road near deliverance chrch kenyapowercare,20-Jul-22
@soyi_jotham,kindly stop overloading transformers leads frequent blackouts,20-Jul-22
@nyawarageorge,kenyapowercare ligodho polytechnic ligodho secondary school sorroundings experiencing blackout since february transformer blew nothing done fixing justice,20-Jul-22
@deluluboo,kenyapowercare transformer blew last night fire fighters came ata leo siwaoni resolved read next st pauls anglican church kenya kamiti road kirigiti,20-Jul-22
@Sway_Julu,kenyapowercare need bride change transformer muthiga either transformer faulty able handle first growing population muthiga either way working kenyapower,20-Jul-22
@GikaaraAnna,kenyapowercare lights pm till area affected around vicinity yaani lights day location ruiru kimbo murera secondary school account lane affected transformer kumura seconday,19-Jul-22
@Henelico,kenyapowercare idarknenss metre number transformer located near ntakira police post metres gikumene girls meru kindly assist accordinglyrestore power,19-Jul-22
@jpmacharia,kenyapowercare black huge transformer blasts,19-Jul-22
@CeciliaKioko1,kenyapowercare kindly note theres transformer fire close fortis suites tower upperhill take urgent action kindly,19-Jul-22
@Callum_hudson57,kenyapowercare transformer problem kisii keragia along kisii kilgoris road people using token electricity darkness days overload kplccustomercare,19-Jul-22
@Sk_kariz,kenyapowercare experiencing blackout sunton kasarani one transformers blast morning fix,19-Jul-22
@JoyceKa05960780,long ive lived constant outages years nearly every time problem transformer serves area spoke one staff says thats overgrown trees attended,18-Jul-22
@NadiaOmondi,kenyapowercare hey please rectify issue lucky summer bakita meter need new transformer days since lost power businesses relies power suffering,18-Jul-22
@Stephen79306762,kenyapowercare kplccustomer power failure kihara since yesterday transformer bad state per attached fuses cable burned,18-Jul-22
@3180cc390f17498,good afternoon names edna complain concerning metre electricity voltage atimes high low affecting us big way transformer km away home feel distance affecting supply,18-Jul-22
@KNamuh,days bila power kiaragana primary one line connection near transformer suspect,18-Jul-22
@Angel64603464,kenyapowercare lights lucky summer six six since last week tuesday upto today cause transformer issues suffering water even,18-Jul-22
@2007Kanji,kenyapowercare kindly help rectify since whole organization people darkness kindly help repair transformer,17-Jul-22
@cwaudz,kenyapowercare power kodi road sounded like transformer exploded raised complaint account reference number,17-Jul-22
@zajode,kenyapowercare days power transformer blew technician seen since thursday baby mama keeps calling bwana ati pesa ya candle something today,17-Jul-22
@mankeybizness,kenyapowercare place poles transformer get quote k connection poles already available courtesy high voltage power line really serious providing every kenyan family electricity,16-Jul-22
@leegitahi,kenyapowercare transformer blew ruiru kwa ha kairu isnt first time probably result rapid development around area makes overloaded presume happened yesternight metre number kindly assist regards,16-Jul-22
@AdekFelix2,kenyapowercare kindly replace transformer sakwero road shauri moyo nairobi really suffering people rely electricity survival,16-Jul-22
@AdekFelix2,kenyapowercare kindly replace transformer sakwero road shauri moyo nairobi really suffering people rely electricity survival,16-Jul-22
@AdekFelix2,kenyapowercare kindly fix back transformer sakwero road shauri moyo nairobi whole week earth survive na depend electricity survival,15-Jul-22
@OnejahDee,kenyapowercare kenyapower guys decided people gikuuri embu continue stay darkness whole establishment like cannot find replacement transformer close month theres radio silence end make make sense,15-Jul-22
@smwenesi,kenyapowercare cant let people know carting away transformer maintenance residents asked money maintenance transformers notice would great next time na pesa ni ya nini,15-Jul-22
@kauchimbe_,account numbertel jericho area near social hall transformer site ought iko opposite car parking area adjacent hono cresent,15-Jul-22
@smwenesi,kenyapowercare courteous atleast inform people taking transformer maintenance long asked give money stay darkness without clear information money much,15-Jul-22
@Angel64603464,kenyapowercare three days without power lucky summer six six cause transformer high end areas problem would sorted,15-Jul-22
@kennedysiony,kenyapowercare kenyapower make reference call never resolved add salt injury yesterday faulty issue transformer causing power surge damaged electronics great extend question,15-Jul-22
@NdwigaNyagaJ,good afternoon kindly resolve power outage issues igembe central area called gichanine kangeta location served kathima coffee factory transformer,15-Jul-22
@Aberry Nyar Gem,kenyapowercare power along kincar airways road utawalasince yesterday pm loud bang one transformers stationed near glory cereals shop kindly expedite,15-Jul-22
@papacavine,status ref day straight blackout whole area covering transformers problem,15-Jul-22
@mary_mbicho,kenyapowercare good evening since tuesday transformer duruma price road junction nyamakima blew today repairedso sad rely electricity,14-Jul-22
@brysonmunga,kenyapowercare tutaumia replace transformer day electricity,14-Jul-22
@Jackie25330413,kenyapowercare hello roysambu carwash dont power since yesterday kindly come rectify transformer,14-Jul-22
@t_muiruri,kenyapowercare since changed transformer githurai near office current phase fluctuating currently ac,14-Jul-22
@okothemmmanuel,kenyapowercare long black continue please sort transformer seems overloaded langata deliverance church area elegant apartments mtr show incompetent co,14-Jul-22
@dianarachelm,kenyapowercare yooo long take fix transformer cant without lights week,14-Jul-22
@Henry_Akony,kenyapowercare one transformers fire eastleigh first avenue near section,14-Jul-22
@obongo_kepha,kindly something watu watachomeka transformer near school church near riombati alot sparks coming circuit breakers,14-Jul-22
@njokindungu21,transformer issue,14-Jul-22
@jerry_motif,team took transformer shaurimoyo juakali power nearly week kindly need transformer area,14-Jul-22
@SirCalebz,kenyapowercare kenyapower two days transformer remain disconnected muthiga waiyaki way whats happening food getting spoilt,14-Jul-22
@fmbithi94,kenyapowercare maroute transformer fire langata rd near madaraka stage check ugently,14-Jul-22
@obongo_kepha,kplc kindly send emergency teamthe transformer kerora area kemera wardmanga subcounty giving sparksthe electricity areaswhile elsewhere poweracc transformer almost blowing phone,14-Jul-22
@obongo_kepha,kenyapowercare kplc kindly send emergency teamthe transformer kerora area kemera wardmanga subcounty giving sparksthe electricity areasacc transformer almost blowing phone,14-Jul-22
@Akitekti,power outage lines different transformer power,13-Jul-22
@Akitekti,kenyapowercare power outage mtr bt lines different transformer pwr within market,13-Jul-22
@Zippy_Ke,kenyapowercare power ruaka gacharage third time second day row power gone fireworks loud bangs transformers sure overload need solution kindly assist mtr,13-Jul-22
@okothemmmanuel,kenyapowercare suppose guys cant work properly transformer short circuiting electronics every time cant withstand rubbish longer sort transformer near deliverance church mtr restore power,13-Jul-22
@brownlewis2000,kenyapowercare muthiga power ata gmhours hazijapita kwani every night itakuwa ivi kindly restore power muthiga transformer issues bana ac,13-Jul-22
@PherozMRozay,whole regen lights shopping center since yesterday pm kindly assist us something wrong transformer,13-Jul-22
@brownlewis2000,kenyapowercare bog joke blackout muthiga bana tired fix overloaded transformer,13-Jul-22
@wgakuo10,kenyapowercare interchange thika rd eastern pass one phase transformer next blessed heights building went yesterday tuesday th july made numerous report ruiru office help come,13-Jul-22
@wgakuo10,kenyapowercare interchange thika rd eastern pass one phase transformer next blessed heights building went yesterday tuesday th july made numerous report ruiru office help come,13-Jul-22
@PherozMRozay,kenyapowercare kenyapower kindly assist transformer liking oil lights reggen shopping center waiyaki way lights since morning,13-Jul-22
@MonyenyeNelson,kenyapowercare kindly ask technicians took transformer regen task completion also bring back electricity took kindly almost whole day,13-Jul-22
@JumaConnie,kenyapowercare account joska area near outreach church power since last night need bigger transformer kindly send team persistent low voltage problems,13-Jul-22
@KuiKimani4,havent power days transformer keeps blowing seriously cant guys something,13-Jul-22
@njugunakama,entire area nothing meter number result vandalized transformer school called park hill school long wait,13-Jul-22
@NellyDiana13,transformer komarock primary school ililipuka dont lights since yesterday kindly assist us acc,13-Jul-22
@Beebee2545,kenyapowercare dim lights going heard transformer blow along mirema road kindly assist,13-Jul-22
@sammy_erastus,problem isnt account number fuse transformer mounted past mkangagani primary mida sublocation let field men come fix new fuse possible,13-Jul-22
@sammy_erastus,fuse transformer near mkangagani primary isnt working therefore power since last week,13-Jul-22
@v_kfrost,repairing old transformer still complain replacing something actually serve us coz repairing transformer means less week back problem like one year nmechoka tu sasa,13-Jul-22
@brownlewis2000,fast possible right nyi wasee hutuona malenge sana hours later still powerand explained situation guys transformer causing problems generated sparks wire transformer got disconnected,12-Jul-22
@realRickyNe,till power back still team site damaged transformer,10-Jul-22
@jack3_ochieng,oyee transformer burn almost month back weve trying means still wont help happening,10-Jul-22
@njiiri2012,kahawa wendani power problem know number transformers remains serving double triple ever increasing population meanwhile havent power since yesterday,10-Jul-22
@mykeawilly,kenyapowercare long take replace damage transformerits days counting olasi wardkatolo location ksm total blackoutsplease something,10-Jul-22
@Dailashc,kenyapowercare hey theres power outage marriott eldoret heard transformer blowing,9-Jul-22
@audi_robert,kenyapowercare account number power dayscan perennial problems transformer dhene secondary school gem siaya fixed homes businesses making loses every month siaya office care,9-Jul-22
@cincight,kenyapowercare hey kplc power ngong areaoloolua roadmight transformer issue usual incompetence please check,9-Jul-22
@ElizaNjeri10,powersawa kenyapowercare kenyapower transformer issue month kasarani sunton area kwa mafuta kindly look suffering closest land mark precious brains school,9-Jul-22
@tallmfupi,kenyapowercare ac gikomba n environs power since yesterday transformer failure kindly assist mobile,9-Jul-22
@KIMANGI_Abdul,blast transformer,8-Jul-22
@Cortini,dont want notification see lights back want exact time understand happening hours see transformer right front,8-Jul-22
@MamdaniUmair,power outage since morning apparently noise heard transformer drizzling contacting kplc told way,8-Jul-22
@Cortini,escalation transformer unattended whole day,8-Jul-22
@Cortini,follow times hours nothing follow transformer since whats new maybe time invest newer version,8-Jul-22
@Cortini,kenyapowercare kenyapower still nothing one transformer physically,8-Jul-22
@Cortini,transformer always problem years ago still problemtransformer rocket science everyone knows problem fix,8-Jul-22
@Cortini,happening dead night dead one attended yesterday evening none one right looking transformer unless invisible super heroes one account,8-Jul-22
@Masaiko_One,much one needs paywhy must appears like favourwhy leave transformer idle yearsif cant help narok take elsewhere fair waste resources,8-Jul-22
@Masaiko_One,asking new idle transformer pulungawhy waste resourceswhen tried apply team narok office said must come group households ksh handstodate nothing happened,8-Jul-22
@Masaiko_One,kenyapowercare kenyapower wondering leave new transformer pulunga area narok town three years schools households connected narok office seems caring,8-Jul-22
@rono_benard,kenyapowercare tree fell power line sotik kipajit area days darkness kplc sotik office aware communication back customers line kipajit dispensary transformer towards west one affected kindly take act,7-Jul-22
@agwanda_aloo,actually problem transformer junction church road embakasi fixed everyday everyday fixed power annoying,7-Jul-22
@WaithereroB,told morning confused whether follow done faulty transformer fixed area morning follow done could fixed cant even access water,4-Jul-22
@knowledgehawker,kenyapowercare still waiting technical team hrs reported jalyn transformer,4-Jul-22
@mikesonking8,ref wish request regional engineer dr francis memia intervene case weve power outage one phase alternating daily indicates theres monkey business going transformer serving us perozzi muthiga center,4-Jul-22
@shiku84,theres transformer blew live wires hanging making dangerous,4-Jul-22
@mwaura_kenneth,kenyapowercare kindly restore power zambezi adjacent ack sigona church fifth day darkness repair transformer please ac,4-Jul-22
@brownlewis2000,something fishy going told person transferred fuse phase use one even work kenya power got greelight someone works dangerous kindly ensure civilians access transformers,3-Jul-22
@NaisoiSanaipei,kenyapowercare ref weve complaining transformer flamesentire hood darknessdo fing jobs,3-Jul-22
@LawrenceMwanzi7,hey kilifi county village called mtondia facing challenges concerning transformer since last week wensday upto havent served power dont know issued take care,3-Jul-22
@garihillss,kenya power cant work transformer street eastleigh always going even bird sits cable gives loud noise like abomb bird comes dead next block whole area order day,3-Jul-22
@ckaredi,kenyapowercare ruaka staff lazyhow keep guys darkness days since friday fix line transformer houses powerat ruaka bypass transformer slow respond,3-Jul-22
@_queen2011,isnt metre number enough ama mnataka kunidirect vile ntapanda kwa transformer,3-Jul-22
@Jennychege,kenyapowercare kenyapower transformer exploded comboni road opposite tangaza college,2-Jul-22
@thaiyajohn,kenyapowercare kindly assist power outage kiambu high area transformer issue,2-Jul-22
@t_muiruri,kenyapowercare experiencing low current voltage transformer replaced ac,2-Jul-22
@CmMirage,kenyapowercare transformer blew yesterday pm power kahawa west next farmers choice,2-Jul-22
@S_Hotsteam,yes transformer blew,2-Jul-22
@Ann98785544,hi please kind request something githurai near sonic issue transformer days lights,1-Jul-22
@mwaura_kenneth,kenyapowercare kindly replace transformer zambezi kikuyu adjacent ack sigona church power days,1-Jul-22
@BPrayzer,expect,29-Jun-22
@towetchepkirui,kenyapowercare issue health centre narok paid electric bill weeks ago upto one come reconnect imagine patients hospital doctor surviving surely,29-Jun-22
@nyoksgathu,kenyapowercare sent mail since yesterday till havent sent bill statement,29-Jun-22
@alexi_wandaho,policy disconnection paying electricity bills years never ever charged something havent deserved,29-Jun-22
@nyoksgathu,kenyapowercare seems taking millennium send bill statement via mail hrs line really,29-Jun-22
@BPrayzer,thanks understanding,28-Jun-22
@BPrayzer,three weeks bussiness seriously affected please try fix soon possible,28-Jun-22
@Dedan07,mean delays bill sending done extra fee earned customer,28-Jun-22
@Dedan07,bill reconnections pay mistake sending bill,28-Jun-22
@alexi_wandaho,kenyapowercare last month overcharged ksh apparently paying bill one due date called reconnection fee struggling pay using avail advised use cleared bill,28-Jun-22
@xuma89,latest bill received shillings,27-Jun-22
@Mbhabra3,kenyapowercare kenyapower reason customers treated like shit seems kplc desperately trying extort money customers slapping high unreasonable bills company verge financial crisis,24-Jun-22
@njau8,happening past two months every day old story way hamko serious expect us pay bills,25-Jun-22
@olekwipkwip,updates since business people run huge losses run electricity almost week bills pay time line,25-Jun-22
@Bill_Kym,kenyapowercare check dm,28-Jun-22
@RealGacherumat,kenyapowercare bought tokens pay bill yet received tokens whats wrong,24-Jun-22
@NishkRetail,kenyapowercare could please check bill meter number,24-Jun-22
@alexi_wandaho,ac erroneously charged ksh reconnection fee power disconnected payed bill one day due date working used inquiry advise one staff,28-Jun-22
@Mbhabra3,date keep suffering someone paid work suffering someone elses mistake slapped bill pay bill every month several people want bribe clear mess refused,24-Jun-22
@VitalisJMMdind1,paying excess monthly bill clear balance,27-Jun-22
@kenyandallaz,kenyapowercare kenyapower kplc officers yesterday evening disconnected office buildings power supply pole ground one tenant paid bill possible law allows tenants fully paid yet suffering,24-Jun-22
@AndrewJFrankli1,kenyapowercare kplc ceased sending post paid account bills email entire system crashed since march also longer staff actually reading meters guess nobody cares longer,24-Jun-22
@BPrayzer,postpaid,23-Jun-22
@tmanjoy,kenyapowercare kindly bill account dont like zero meter readings,23-Jun-22
@BPrayzer,location dandora phase near kinyago police station,23-Jun-22
@NdiranguBen,kenyapowercare kindly restore power meter bill fully paid,23-Jun-22
@wasonga_job,kenyapowercare gave us bill k distance yet neighbors wanted electricity gave wakae na stima yao,23-Jun-22
@SsWafii,kenyapowercare kindly check power ac digital meter paid bill still disconnected thank yu,22-Jun-22
@err_rie,kenyapowercare power outage morning meter may bill cleared inconvenience,22-Jun-22
@MuthoniKirumba,kenya power kenyapowercare lights kenya house month people messed businesses every time lights supposed pay high bills keep losing clients,21-Jun-22
@MuthoniKirumba,kenyapowercare month lights every day expect us work pay high bills everyday lights clients serve stop shameless nkt,21-Jun-22
@Ngwasidaniel,good evening kenya power care repaired power outage muthetheni span hr power kindly solve problem forever tired yet pay bills kenya power kenyapowermachakosbranch,21-Jun-22
@SirHarris_ke,kenyapowercare kenyapower surely given us lowfluctuating voltage weeks straight whole june mumesema hatutafanya kazi supposed work bills paid expensive cost living taxes spoilt food kwa fridge yaani whole month ruined,21-Jun-22
@Ngema_Kinyua,kenyapowercare get bill meter two months bill,21-Jun-22
@Benardendire,kenyapowercare ihave able pay muy electricity bill pay bill system siting incorrect account number,21-Jun-22
@dennoh_gitonga,noted thanks account seems incorrect please check try ksh reversed response pay bill number,21-Jun-22
@Sly201225,thank kenyapowercare good know meter water heater system actually site keep estimating consumption units water heater meter bill,21-Jun-22
@63576c72ea3c4df,kenyapowercare please remove contacts account number keep sending bills belong methank,21-Jun-22
@mwakalindo,last months bill units averaging units bills kes today charge units kes querying difference one access bills say months,20-Jun-22
@DanielMbaluka2,complained account meter read abormol l huge bill,20-Jun-22
@b_maish,kenyapowercare raise complaint inflated power bill,20-Jun-22
@mwakalindo,tell bill okay question changed consumption rate rep levy increased,20-Jun-22
@mwakalindo,time billing june reading consumption bill kes last months averaging units kes surely extra units shouldnt double bill,20-Jun-22
@Biggstonn,would kind share tariffs yopped ksh average affected meter march nd still units current bill would round tarriff usage havent exceeded units pm months average,20-Jun-22
@DianaKatheu,kenyapowercare kindly check dm assist areas necessary still receiving bill mine,20-Jun-22
@Chuani,ones sent bill three weeks statement confirms please explain going,20-Jun-22
@saraedz88,kenyapowercare problem metre number hav written concerned branch helping dont understand getting monthly bill k wen home consumption,20-Jun-22
@Chuani,since email address send statement bill,19-Jun-22
@Chuani,need week send itemized bill statement,18-Jun-22
@dovabenard,kenyapowercare morning guys sent inflated electricity bill check account,18-Jun-22
@SaccoTek,kenyapowercare power yet bills fully paid issue account,17-Jun-22
@PrimedigitalT,statement shown whats real billfor month may,17-Jun-22
@PrimedigitalT,employee realy checking reading submiting montly bill employee paid followup ghost sent keep reading bills,17-Jun-22
